Clube,Plantel,ø Idade,Estrangeiros,ø Valor de Mercado,Valor de Mercado Total
SE Palmeiras,31,"25,9",8,"7,70 mi. €","238,75 mi. €"
CR Flamengo,31,"27,0",7,"7,07 mi. €","219,15 mi. €"
Botafogo FR,34,"25,9",6,"4,00 mi. €","135,95 mi. €"
SC Corinthians,34,"26,2",10,"3,63 mi. €","123,25 mi. €"
SC Internacional,42,"25,3",9,"2,54 mi. €","106,65 mi. €"
Santos FC,33,"26,9",7,"2,90 mi. €","95,60 mi. €"
Cruzeiro EC,29,"27,9",6,"3,28 mi. €","95,05 mi. €"
Atlético Mineiro,28,"26,9",7,"3,35 mi. €","93,70 mi. €"
Grêmio FBPA,33,"26,4",11,"2,82 mi. €","93,00 mi. €"
EC Bahia,29,"27,6",5,"3,17 mi. €","92,00 mi. €"
CR Vasco da Gama,34,"27,9",11,"2,57 mi. €","87,50 mi. €"
São Paulo FC,35,"26,8",7,"2,28 mi. €","79,85 mi. €"
Fluminense FC,35,"28,2",9,"2,10 mi. €","73,60 mi. €"
RB Bragantino,30,"25,1",7,"2,34 mi. €","70,10 mi. €"
Fortaleza EC,30,"30,0",10,"1,60 mi. €","47,85 mi. €"
EC Vitória,38,"27,4",1,"1,05 mi. €","39,95 mi. €"
Sport Recife,32,"28,3",8,"1,15 mi. €","36,70 mi. €"
Ceará SC,36,"28,6",5,833 mil €,"30,00 mi. €"
EC Juventude,39,"27,8",4,470 mil €,"18,33 mi. €"
Mirassol FC,35,"29,2",1,521 mil €,"18,23 mi. €"
