Clube,Plantel,ø Idade,Estrangeiros,ø Valor de Mercado,Valor de Mercado Total
São Paulo FC,49,"24,1",5,"1,86 mi. €","91,15 mi. €"
SC Internacional,57,"23,3",5,"1,20 mi. €","68,25 mi. €"
SE Palmeiras,54,"23,9",7,"1,23 mi. €","66,45 mi. €"
Cruzeiro EC,48,"24,0",6,"1,35 mi. €","64,70 mi. €"
Fluminense FC,60,"24,0",3,990 mil €,"59,40 mi. €"
SC Corinthians,44,"23,8",5,"1,23 mi. €","54,00 mi. €"
Atlético Mineiro,44,"25,0",3,"1,16 mi. €","50,88 mi. €"
Grêmio FBPA,56,"22,4",7,870 mil €,"48,73 mi. €"
CR Flamengo,43,"24,1",7,905 mil €,"38,90 mi. €"
Santos FC,46,"23,0",4,735 mil €,"33,83 mi. €"
CR Vasco da Gama,55,"25,2",8,551 mil €,"30,30 mi. €"
Sport Recife,49,"23,4",0,379 mil €,"18,55 mi. €"
Coritiba FC,55,"23,8",1,303 mil €,"16,65 mi. €"
Figueirense FC,54,"23,0",1,264 mil €,"14,25 mi. €"
Clube Atlético Paranaense,54,"22,3",5,261 mil €,"14,10 mi. €"
Avaí FC,51,"24,0",3,220 mil €,"11,20 mi. €"
AA Ponte Preta,65,"23,3",0,154 mil €,"10,00 mi. €"
Chapecoense,45,"25,6",0,209 mil €,"9,40 mi. €"
Goiás EC,61,"23,0",0,130 mil €,"7,90 mi. €"
Joinville EC,63,"23,5",1,86 mil €,"5,40 mi. €"
