Clube,Plantel,ø Idade,Estrangeiros,ø Valor de Mercado,Valor de Mercado Total
SC Corinthians,57,"23,7",8,"1,99 mi. €","113,45 mi. €"
CR Flamengo,64,"22,0",9,"1,64 mi. €","105,10 mi. €"
SE Palmeiras,57,"22,5",8,"1,54 mi. €","88,00 mi. €"
Atlético Mineiro,60,"23,3",11,"1,17 mi. €","70,15 mi. €"
SC Internacional,52,"23,4",10,"1,31 mi. €","68,25 mi. €"
Grêmio FBPA,51,"24,8",4,"1,28 mi. €","65,30 mi. €"
São Paulo FC,47,"22,9",6,"1,07 mi. €","50,20 mi. €"
Santos FC,55,"22,5",6,738 mil €,"40,58 mi. €"
EC Bahia,68,"23,1",1,583 mil €,"39,68 mi. €"
CR Vasco da Gama,50,"23,0",5,778 mil €,"38,90 mi. €"
Coritiba FC,61,"24,0",4,581 mil €,"35,45 mi. €"
Botafogo FR,64,"22,3",9,488 mil €,"31,25 mi. €"
Athletico Paranaense,71,"22,1",5,435 mil €,"30,85 mi. €"
Goiás EC,71,"22,8",7,411 mil €,"29,20 mi. €"
Fluminense FC,57,"23,0",3,483 mil €,"27,53 mi. €"
Sport Recife,59,"23,5",3,464 mil €,"27,38 mi. €"
Ceará SC,48,"24,8",0,484 mil €,"23,25 mi. €"
Atlético Goianiense,67,"21,6",2,317 mil €,"21,25 mi. €"
Fortaleza EC,44,"25,4",4,447 mil €,"19,65 mi. €"
RB Bragantino,42,"22,4",5,368 mil €,"15,48 mi. €"
