Clube,Plantel,ø Idade,Estrangeiros,ø Valor de Mercado,Valor de Mercado Total
São Paulo FC,45,"24,8",6,"3,33 mi. €","149,65 mi. €"
SC Corinthians,44,"24,3",5,"1,99 mi. €","87,55 mi. €"
Santos FC,49,"22,6",6,"1,50 mi. €","73,40 mi. €"
Atlético Mineiro,55,"24,6",2,"1,16 mi. €","63,85 mi. €"
Fluminense FC,43,"23,1",2,"1,13 mi. €","48,80 mi. €"
SE Palmeiras,55,"23,2",8,856 mil €,"47,10 mi. €"
Grêmio FBPA,63,"21,5",6,738 mil €,"46,50 mi. €"
CR Flamengo,47,"23,9",6,952 mil €,"44,75 mi. €"
Cruzeiro EC,44,"24,1",4,990 mil €,"43,55 mi. €"
SC Internacional,60,"22,4",5,586 mil €,"35,15 mi. €"
Botafogo FR,51,"23,9",6,555 mil €,"28,30 mi. €"
EC Vitória,69,"23,8",8,367 mil €,"25,30 mi. €"
Coritiba FC,54,"24,0",6,430 mil €,"23,20 mi. €"
Sport Recife,65,"24,5",3,347 mil €,"22,58 mi. €"
EC Bahia,62,"24,0",6,341 mil €,"21,15 mi. €"
Criciúma EC,73,"24,6",1,232 mil €,"16,95 mi. €"
Figueirense FC,51,"24,1",2,223 mil €,"11,35 mi. €"
Clube Atlético Paranaense,46,"22,1",3,190 mil €,"8,75 mi. €"
Goiás EC,40,"23,4",0,155 mil €,"6,20 mi. €"
Chapecoense,44,"25,2",1,126 mil €,"5,53 mi. €"
