Clube,Plantel,ø Idade,Estrangeiros,ø Valor de Mercado,Valor de Mercado Total,Temporada
CR Flamengo,61,"23,1",5,"2,98 mi. €","181,95 mi. €",2022
SC Corinthians,52,"24,2",7,"2,54 mi. €","131,90 mi. €",2022
Atlético Mineiro,44,"25,0",8,"2,61 mi. €","115,00 mi. €",2022
SE Palmeiras,42,"23,1",6,"2,66 mi. €","111,60 mi. €",2022
SC Internacional,51,"24,0",9,"2,05 mi. €","104,43 mi. €",2022
Botafogo FR,62,"24,0",6,"1,35 mi. €","83,45 mi. €",2022
Athletico Paranaense,67,"21,9",9,"1,06 mi. €","70,93 mi. €",2022
São Paulo FC,48,"23,0",10,"1,41 mi. €","67,88 mi. €",2022
Santos FC,52,"22,6",9,"1,00 mi. €","52,18 mi. €",2022
RB Bragantino,47,"21,4",6,"1,05 mi. €","49,28 mi. €",2022
Fluminense FC,46,"25,3",5,897 mil €,"41,28 mi. €",2022
Fortaleza EC,43,"25,7",7,759 mil €,"32,65 mi. €",2022
Avaí FC,64,"25,2",3,505 mil €,"32,30 mi. €",2022
Ceará SC,52,"24,5",2,532 mil €,"27,65 mi. €",2022
Cuiabá EC,63,"22,8",3,425 mil €,"26,75 mi. €",2022
Coritiba FC,54,"23,6",8,475 mil €,"25,63 mi. €",2022
América Mineiro,56,"24,4",7,439 mil €,"24,58 mi. €",2022
EC Juventude,55,"24,2",4,403 mil €,"22,18 mi. €",2022
Goiás EC,70,"22,2",0,303 mil €,"21,20 mi. €",2022
Atlético Goianiense,52,"22,9",3,319 mil €,"16,58 mi. €",2022
CR Flamengo,58,"22,4",5,"3,33 mi. €","193,10 mi. €",2023
Atlético Mineiro,40,"25,7",7,"3,46 mi. €","138,40 mi. €",2023
Botafogo FR,64,"24,1",14,"1,98 mi. €","126,43 mi. €",2023
SE Palmeiras,42,"23,0",7,"2,87 mi. €","120,50 mi. €",2023
São Paulo FC,50,"23,5",11,"2,24 mi. €","112,18 mi. €",2023
Grêmio FBPA,62,"23,5",10,"1,61 mi. €","99,98 mi. €",2023
SC Corinthians,48,"23,2",8,"2,08 mi. €","99,95 mi. €",2023
Santos FC,56,"24,2",11,"1,68 mi. €","94,20 mi. €",2023
Fluminense FC,59,"23,5",7,"1,32 mi. €","77,70 mi. €",2023
SC Internacional,41,"25,4",10,"1,88 mi. €","77,15 mi. €",2023
RB Bragantino,49,"21,4",7,"1,55 mi. €","75,85 mi. €",2023
CR Vasco da Gama,70,"22,7",10,"1,04 mi. €","72,85 mi. €",2023
EC Bahia,72,"21,4",5,979 mil €,"70,50 mi. €",2023
Cruzeiro EC,51,"23,5",1,"1,23 mi. €","62,75 mi. €",2023
Coritiba FC,61,"24,6",8,956 mil €,"58,33 mi. €",2023
