Clube,Plantel,ø Idade,Estrangeiros,ø Valor de Mercado,Valor de Mercado Total
CR Flamengo,62,"22,0",5,"2,99 mi. €","185,60 mi. €"
SC Corinthians,50,"23,0",6,"2,65 mi. €","132,35 mi. €"
Grêmio FBPA,59,"24,0",6,"2,04 mi. €","120,28 mi. €"
Atlético Mineiro,48,"23,9",8,"2,22 mi. €","106,45 mi. €"
SE Palmeiras,58,"22,3",5,"1,61 mi. €","93,25 mi. €"
São Paulo FC,51,"23,2",9,"1,41 mi. €","71,90 mi. €"
SC Internacional,57,"21,9",10,"1,26 mi. €","71,85 mi. €"
Santos FC,63,"22,2",5,852 mil €,"53,70 mi. €"
Fluminense FC,63,"23,2",6,621 mil €,"39,13 mi. €"
RB Bragantino,44,"21,7",5,768 mil €,"33,80 mi. €"
Athletico Paranaense,63,"21,5",5,498 mil €,"31,35 mi. €"
Fortaleza EC,46,"25,7",4,678 mil €,"31,20 mi. €"
EC Bahia,74,"23,0",6,410 mil €,"30,35 mi. €"
Sport Recife,71,"22,4",2,394 mil €,"27,95 mi. €"
EC Juventude,49,"26,2",6,547 mil €,"26,83 mi. €"
Atlético Goianiense,63,"22,1",2,392 mil €,"24,70 mi. €"
Ceará SC,69,"22,6",2,318 mil €,"21,93 mi. €"
Cuiabá EC,62,"22,7",3,339 mil €,"21,00 mi. €"
América Mineiro,57,"23,9",2,297 mil €,"16,95 mi. €"
Chapecoense,53,"23,1",0,259 mil €,"13,75 mi. €"
