Clube,Plantel,ø Idade,Estrangeiros,ø Valor de Mercado,Valor de Mercado Total
SE Palmeiras,51,"24,4",4,"1,73 mi. €","88,28 mi. €"
Santos FC,52,"22,9",5,"1,63 mi. €","84,50 mi. €"
São Paulo FC,57,"22,9",5,"1,42 mi. €","80,85 mi. €"
Atlético Mineiro,61,"23,2",6,"1,16 mi. €","70,95 mi. €"
CR Flamengo,56,"22,8",7,"1,26 mi. €","70,68 mi. €"
Grêmio FBPA,66,"24,0",3,"1,06 mi. €","69,65 mi. €"
Cruzeiro EC,54,"23,6",7,"1,23 mi. €","66,45 mi. €"
SC Corinthians,58,"24,1",6,"1,09 mi. €","63,40 mi. €"
SC Internacional,53,"23,9",7,"1,11 mi. €","59,05 mi. €"
EC Vitória,65,"23,7",8,753 mil €,"48,95 mi. €"
CR Vasco da Gama,58,"23,9",7,777 mil €,"45,08 mi. €"
Clube Atlético Paranaense,55,"23,7",3,757 mil €,"41,65 mi. €"
Sport Recife,60,"23,7",2,669 mil €,"40,15 mi. €"
EC Bahia,52,"23,2",2,753 mil €,"39,15 mi. €"
Fluminense FC,68,"21,9",4,482 mil €,"32,78 mi. €"
Chapecoense,57,"24,3",5,569 mil €,"32,45 mi. €"
Ceará SC,65,"25,0",2,496 mil €,"32,25 mi. €"
América Mineiro,59,"24,3",1,521 mil €,"30,75 mi. €"
Botafogo FR,46,"23,0",4,557 mil €,"25,60 mi. €"
Paraná Clube,64,"23,1",3,311 mil €,"19,88 mi. €"
