Clube,Plantel,ø Idade,Estrangeiros,ø Valor de Mercado,Valor de Mercado Total
São Paulo FC,53,"23,6",7,"1,86 mi. €","98,60 mi. €"
CR Flamengo,48,"23,7",7,"1,91 mi. €","91,45 mi. €"
Cruzeiro EC,50,"23,6",6,"1,77 mi. €","88,40 mi. €"
Atlético Mineiro,57,"23,9",4,"1,54 mi. €","87,93 mi. €"
SE Palmeiras,48,"25,5",4,"1,54 mi. €","73,95 mi. €"
Grêmio FBPA,76,"22,6",9,878 mil €,"66,75 mi. €"
SC Corinthians,43,"23,5",3,"1,31 mi. €","56,20 mi. €"
Santos FC,47,"23,5",5,"1,11 mi. €","52,20 mi. €"
Sport Recife,46,"23,6",3,"1,02 mi. €","47,10 mi. €"
EC Vitória,47,"24,6",6,988 mil €,"46,45 mi. €"
CR Vasco da Gama,47,"24,7",5,960 mil €,"45,10 mi. €"
Clube Atlético Paranaense,52,"23,3",4,863 mil €,"44,88 mi. €"
Chapecoense,62,"23,0",6,637 mil €,"39,48 mi. €"
Fluminense FC,51,"22,6",2,728 mil €,"37,15 mi. €"
Coritiba FC,51,"24,5",2,677 mil €,"34,53 mi. €"
EC Bahia,48,"23,1",4,710 mil €,"34,10 mi. €"
Botafogo FR,52,"23,3",5,585 mil €,"30,40 mi. €"
AA Ponte Preta,53,"24,4",4,537 mil €,"28,48 mi. €"
Atlético Goianiense,57,"23,2",0,276 mil €,"15,73 mi. €"
Avaí FC,57,"23,4",5,262 mil €,"14,93 mi. €"
