Clube,Plantel,ø Idade,Estrangeiros,ø Valor de Mercado,Valor de Mercado Total
CR Flamengo,58,"22,4",5,"3,33 mi. €","193,10 mi. €"
Atlético Mineiro,40,"25,7",7,"3,46 mi. €","138,40 mi. €"
Botafogo FR,64,"24,1",14,"1,98 mi. €","126,43 mi. €"
SE Palmeiras,42,"23,0",7,"2,87 mi. €","120,50 mi. €"
São Paulo FC,50,"23,5",11,"2,24 mi. €","112,18 mi. €"
Grêmio FBPA,62,"23,5",10,"1,61 mi. €","99,98 mi. €"
SC Corinthians,48,"23,2",8,"2,08 mi. €","99,95 mi. €"
Santos FC,56,"24,2",11,"1,68 mi. €","94,20 mi. €"
Fluminense FC,59,"23,5",7,"1,32 mi. €","77,70 mi. €"
SC Internacional,41,"25,4",10,"1,88 mi. €","77,15 mi. €"
RB Bragantino,49,"21,4",7,"1,55 mi. €","75,85 mi. €"
CR Vasco da Gama,70,"22,7",10,"1,04 mi. €","72,85 mi. €"
EC Bahia,72,"21,4",5,979 mil €,"70,50 mi. €"
Cruzeiro EC,51,"23,5",1,"1,23 mi. €","62,75 mi. €"
Coritiba FC,61,"24,6",8,956 mil €,"58,33 mi. €"
Athletico Paranaense,53,"22,5",8,"1,09 mi. €","57,73 mi. €"
Fortaleza EC,44,"26,0",8,"1,03 mi. €","45,33 mi. €"
América Mineiro,54,"25,1",8,633 mil €,"34,18 mi. €"
Goiás EC,64,"23,9",2,435 mil €,"27,83 mi. €"
Cuiabá EC,46,"24,2",3,465 mil €,"21,38 mi. €"
