Clube,Plantel,ø Idade,Estrangeiros,ø Valor de Mercado,Valor de Mercado Total
CR Flamengo,42,"24,3",6,"1,47 mi. €","61,90 mi. €"
Cruzeiro EC,51,"23,3",8,"1,10 mi. €","56,35 mi. €"
Fluminense FC,48,"23,7",3,"1,16 mi. €","55,75 mi. €"
São Paulo FC,48,"23,1",8,"1,16 mi. €","55,70 mi. €"
Atlético Mineiro,61,"22,9",5,862 mil €,"52,60 mi. €"
SE Palmeiras,47,"25,0",5,"1,11 mi. €","51,95 mi. €"
Grêmio FBPA,55,"22,8",4,742 mil €,"40,80 mi. €"
SC Internacional,52,"23,5",6,722 mil €,"37,53 mi. €"
Sport Recife,64,"23,7",5,584 mil €,"37,40 mi. €"
América Mineiro,58,"23,5",2,608 mil €,"35,25 mi. €"
SC Corinthians,44,"23,2",2,770 mil €,"33,90 mi. €"
Clube Atlético Paranaense,67,"22,5",6,437 mil €,"29,30 mi. €"
AA Ponte Preta,65,"23,9",0,368 mil €,"23,95 mi. €"
Chapecoense,63,"25,4",2,348 mil €,"21,90 mi. €"
Coritiba FC,54,"23,4",7,373 mil €,"20,15 mi. €"
Santos FC,53,"22,4",8,350 mil €,"18,53 mi. €"
EC Vitória,41,"23,2",4,438 mil €,"17,95 mi. €"
Botafogo FR,52,"23,6",5,329 mil €,"17,10 mi. €"
Figueirense FC,59,"23,8",2,283 mil €,"16,70 mi. €"
Santa Cruz FC,59,"23,8",2,224 mil €,"13,23 mi. €"
