Clube,Plantel,ø Idade,Estrangeiros,ø Valor de Mercado,Valor de Mercado Total
CR Flamengo,61,"23,1",5,"2,98 mi. €","181,95 mi. €"
SC Corinthians,52,"24,2",7,"2,54 mi. €","131,90 mi. €"
Atlético Mineiro,44,"25,0",8,"2,61 mi. €","115,00 mi. €"
SE Palmeiras,42,"23,1",6,"2,66 mi. €","111,60 mi. €"
SC Internacional,51,"24,0",9,"2,05 mi. €","104,43 mi. €"
Botafogo FR,62,"24,0",6,"1,35 mi. €","83,45 mi. €"
Athletico Paranaense,67,"21,9",9,"1,06 mi. €","70,93 mi. €"
São Paulo FC,48,"23,0",10,"1,41 mi. €","67,88 mi. €"
Santos FC,52,"22,6",9,"1,00 mi. €","52,18 mi. €"
RB Bragantino,47,"21,4",6,"1,05 mi. €","49,28 mi. €"
Fluminense FC,46,"25,3",5,897 mil €,"41,28 mi. €"
Fortaleza EC,43,"25,7",7,759 mil €,"32,65 mi. €"
Avaí FC,64,"25,2",3,505 mil €,"32,30 mi. €"
Ceará SC,52,"24,5",2,532 mil €,"27,65 mi. €"
Cuiabá EC,63,"22,8",3,425 mil €,"26,75 mi. €"
Coritiba FC,54,"23,6",8,475 mil €,"25,63 mi. €"
América Mineiro,56,"24,4",7,439 mil €,"24,58 mi. €"
EC Juventude,55,"24,2",4,403 mil €,"22,18 mi. €"
Goiás EC,70,"22,2",0,303 mil €,"21,20 mi. €"
Atlético Goianiense,52,"22,9",3,319 mil €,"16,58 mi. €"
